"patient","condition","integrated_snn_res.0.5","n","denom","proportion_pct"
"P1","Graft",0,376,8062,4.66385512279831
"P1","Graft",1,642,8062,7.96328454477797
"P1","Graft",2,1264,8062,15.6784916894071
"P1","Graft",3,24,8062,0.297692880178616
"P1","Graft",4,243,8062,3.01414041180848
"P1","Graft",5,1320,8062,16.3731084098239
"P1","Graft",6,10,8062,0.124038700074423
"P1","Graft",7,25,8062,0.310096750186058
"P1","Graft",8,611,8062,7.57876457454726
"P1","Graft",9,880,8062,10.9154056065492
"P1","Graft",10,694,8062,8.60828578516497
"P1","Graft",11,343,8062,4.25452741255272
"P1","Graft",12,24,8062,0.297692880178616
"P1","Graft",13,299,8062,3.70875713222525
"P1","Graft",14,30,8062,0.37211610022327
"P1","Graft",15,18,8062,0.223269660133962
"P1","Graft",16,852,8062,10.5680972463409
"P1","Graft",17,161,8062,1.99702307119821
"P1","Graft",18,168,8062,2.08385016125031
"P1","Graft",19,5,8062,0.0620193500372116
"P1","Graft",20,8,8062,0.0992309600595386
"P1","Graft",21,3,8062,0.037211610022327
"P1","Graft",23,16,8062,0.198461920119077
"P1","Graft",26,46,8062,0.570578020342347
"P1","PBMC",0,4792,8869,54.030894125606
"P1","PBMC",1,622,8869,7.01319201713835
"P1","PBMC",2,146,8869,1.64618333521254
"P1","PBMC",3,430,8869,4.84834817905063
"P1","PBMC",4,424,8869,4.78069680911038
"P1","PBMC",5,61,8869,0.687788927725786
"P1","PBMC",6,593,8869,6.68621039576051
"P1","PBMC",7,365,8869,4.11545833803134
"P1","PBMC",8,18,8869,0.202954109820724
"P1","PBMC",9,114,8869,1.28537602886458
"P1","PBMC",10,229,8869,2.58202728605254
"P1","PBMC",11,83,8869,0.935843950840005
"P1","PBMC",12,60,8869,0.676513699402413
"P1","PBMC",13,195,8869,2.19866952305784
"P1","PBMC",14,55,8869,0.620137557785545
"P1","PBMC",15,59,8869,0.665238471079039
"P1","PBMC",16,24,8869,0.270605479760965
"P1","PBMC",17,408,8869,4.60029315593641
"P1","PBMC",18,28,8869,0.315706393054459
"P1","PBMC",19,12,8869,0.135302739880483
"P1","PBMC",20,17,8869,0.19167888149735
"P1","PBMC",21,22,8869,0.248055023114218
"P1","PBMC",22,41,8869,0.462284361258316
"P1","PBMC",23,66,8869,0.744165069342654
