label,metric,n_CXCR6_pos,n_CXCR6_neg,mean_CXCR6_pos,mean_CXCR6_neg,delta_pos_minus_neg,p_value,p_adj_BH,star
PBMC,AURKB,166,972,0.006702030588417321,0.0022511092193413457,0.0044509213690759756,0.3579634192342971,0.6075860560019001,ns
PBMC,BAD,166,972,0.19239105365347658,0.1318365341523005,0.060554519501176074,0.04298819857080274,0.13101165278720833,*
PBMC,BAK1,166,972,0.17444493643593217,0.14762615811278876,0.026818778323143416,0.24608090623460144,0.4998859030981481,ns
PBMC,BAX,166,972,0.7056651938444966,0.7354599053458383,-0.02979471150134172,0.6377446650460126,0.8003070306459765,ns
PBMC,BCL2,166,972,0.5626947398788599,0.605085153039891,-0.04239041316103109,0.49191026820036204,0.715505844655072,ns
PBMC,BCL2L11,166,972,0.1208095736345474,0.048937909002498364,0.07187166463204904,0.0036064189587634156,0.015387387557390574,**
PBMC,BID,166,972,0.1743777529886322,0.1946074684255861,-0.0202297154369539,0.7012773655774271,0.8160318435810061,ns
PBMC,CASP3,166,972,0.20499229664669494,0.1395793670066449,0.06541292964005005,0.03562524183076385,0.11400077385844432,*
PBMC,CCNB1,166,972,0.014377400699301058,0.01675611762910785,-0.002378716929806792,0.9685069946107172,0.9782019445558502,ns
PBMC,CDC20,166,972,0,0.0012214035944569923,-0.0012214035944569923,0.6812425457179896,0.8073985727028025,ns
PBMC,CDK1,166,972,0,0.009627525584248106,-0.009627525584248106,0.27337510325679976,0.4998859030981481,ns
PBMC,CDKN1A,166,972,0.00833944291635013,0.005068859042566786,0.003270583873783344,0.7303742491705514,0.8347134276234872,ns
PBMC,CDKN1B,166,972,0.555409361680553,0.5590004309898838,-0.003591069309330841,0.862790634452753,0.9052229607373146,ns
PBMC,CDKN2A,166,972,0.13849913514180803,0.09980077380767471,0.03869836133413332,0.17654755274229308,0.4035372634109556,ns
PBMC,CXCR6,166,972,1.6151936976859667,0,1.6151936976859667,3.2761123552922605e-247,1.0483559536935234e-245,***
PBMC,Cell_cycle_arrest_module,166,972,-0.12965079267084964,-0.12200140542391105,-0.007649387246938588,0.20349958757321238,0.44910253809260664,ns
PBMC,G2M.Score,166,972,-0.021109317006301996,-0.02340653850196734,0.002297221495665344,0.525850624201674,0.7391945418191996,ns
PBMC,GZMB,166,972,0.7370011252702774,0.8056494927219996,-0.0686483674517222,0.32124428286792583,0.571100947320757,ns
PBMC,IFNG,166,972,0.22320004912920655,0.12333144366232426,0.09986860546688228,0.02977669976197965,0.10030046235614197,*
PBMC,MCL1,166,972,0.9344173680898806,0.7471602340165391,0.18725713407334155,0.010063116595871878,0.03788467424328237,*
PBMC,MCM5,166,972,0.18563220461129037,0.12766441300841394,0.057967791602876434,0.09138877751358679,0.24370340670289808,ns
PBMC,MKI67,166,972,0.021055560160153662,0.012687958114767058,0.008367602045386604,0.4624942432718829,0.6883635248697791,ns
PBMC,PCNA,166,972,0.0987905656655913,0.12873969888819115,-0.029949133222599844,0.4149620746977843,0.6477456775770292,ns
PBMC,PLK1,166,972,0,9.28802845891749e-4,-9.28802845891749e-4,0.6812425457179896,0.8073985727028025,ns
PBMC,Proliferation_module,166,972,-0.003591393941531299,-0.005639976378672731,0.0020485824371414317,0.5413874356753592,0.7391945418191996,ns
PBMC,RB1,166,972,0.30163868996933313,0.28548954139663113,0.016149148572702,0.5659458210803248,0.7391945418191996,ns
PBMC,S.Score,166,972,-0.0023913792947346866,-0.0033944018454546082,0.0010030225507199216,0.7785489025867176,0.861892819691489,ns
PBMC,Survival_apoptosis_module,166,972,-0.10776660138820604,-0.11722883074486685,0.009462229356660815,0.5912704384506966,0.7568261612168916,ns
PBMC,TCF7,166,972,0.5518659532910877,0.7305067166579267,-0.17864076336683898,0.01848076512643283,0.06570938711620561,*
PBMC,TNFRSF1A,166,972,0.36605359412352034,0.4134323022854616,-0.04737870816194123,0.3607542207511282,0.6075860560019001,ns
PBMC,TOP2A,166,972,0.006824175209360808,0.003785792527690629,0.003038382681670179,0.5580061324028773,0.7391945418191996,ns
PBMC,TP53,166,972,0.07438094828818438,0.08780555009078322,-0.013424601802598843,0.8050887471453596,0.8733166070729325,ns
Graft,AURKB,1266,1141,0.005654717590940388,0.0031022903753104326,0.002552427215629955,0.3972882414150312,0.6477456775770292,ns
Graft,BAD,1266,1141,0.16275400057419778,0.1461530083457418,0.016600992228455985,0.25869555980273845,0.4998859030981481,ns
Graft,BAK1,1266,1141,0.1755949628435985,0.1798237347802709,-0.004228771936672399,0.9782019445558502,0.9782019445558502,ns
Graft,BAX,1266,1141,0.8686659319359405,0.7546500841270187,0.11401584780892182,0.001365934490997833,0.006724600571066255,**
Graft,BCL2,1266,1141,0.5502153372261308,0.422899372888661,0.12731596433746983,9.997765444604608e-6,9.140814120781355e-5,***
Graft,BCL2L11,1266,1141,0.16873824864238468,0.12174167514234886,0.04699657350003582,0.0049026147654599875,0.01961045906183995,**
Graft,BID,1266,1141,0.13680764310422328,0.15510910357518434,-0.018301460470961067,0.42791994334968003,0.6520684851042743,ns
Graft,CASP3,1266,1141,0.2269805715983072,0.1665502340075225,0.0604303375907847,3.095163603989823e-4,0.0022010052295038736,***
Graft,CCNB1,1266,1141,0.02179450180442887,0.005305069604075301,0.016489432200353572,4.351094687450957e-4,0.0027847005999686123,***
Graft,CDC20,1266,1141,0,0.0023089030655733065,-0.0023089030655733065,0.06804041214604191,0.1979357444248492,ns
Graft,CDK1,1266,1141,0.011811822290201793,0.005959043901601517,0.0058527783886002755,0.16574211334887293,0.3928701946047358,ns
Graft,CDKN1A,1266,1141,0.015856365929207195,0.019189222365162593,-0.003332856435955399,0.40760932002181105,0.6477456775770292,ns
Graft,CDKN1B,1266,1141,0.8090453866017339,0.7418007733635651,0.06724461323816877,0.0718824208445214,0.20002064930649432,ns
Graft,CDKN2A,1266,1141,0.19407434190041264,0.11408512780795169,0.07998921409246096,1.2673058008155297e-6,1.3517928542032315e-5,***
Graft,CXCR6,1266,1141,1.8775810301732976,0,1.8775810301732976,0,0,***
Graft,Cell_cycle_arrest_module,1266,1141,-0.08183191229843362,-0.08513358105059263,0.0033016687521590093,0.8995785083215185,0.9285971698802772,ns
Graft,G2M.Score,1266,1141,-0.011010014305409897,-0.017120403859227997,0.0061103895538181,0.0031175080788396325,0.014251465503266891,**
Graft,GZMB,1266,1141,1.5887391046319774,1.1950269232408413,0.3937121813911362,1.7601055296083196e-12,2.2529350778986493e-11,***
Graft,IFNG,1266,1141,0.8285669035437399,0.49047293184029866,0.3380939717034412,6.006402337987044e-21,9.61024374077927e-20,***
Graft,MCL1,1266,1141,1.1779053027054154,1.0161264805513066,0.16177882215410877,1.8155281854813792e-5,1.4524225483851034e-4,***
Graft,MCM5,1266,1141,0.2564063586275693,0.19080800313774565,0.06559835548982362,6.55631894309516e-4,0.00381458556689173,***
Graft,MKI67,1266,1141,0.03610144421768362,0.026936830776978768,0.00916461344070485,0.2442005012723484,0.4998859030981481,ns
Graft,PCNA,1266,1141,0.12365682067010667,0.15410990091500784,-0.030453080244901176,0.11696502624918333,0.29943046719790933,ns
Graft,PLK1,1266,1141,8.503749015763293e-4,0.003565144344908302,-0.002714769443331973,0.2683470652014127,0.4998859030981481,ns
Graft,Proliferation_module,1266,1141,0.008776312542697364,0.003939244198731841,0.0048370683439655235,0.1408684690140745,0.3467531544961834,ns
Graft,RB1,1266,1141,0.30254167448550884,0.3184548818033896,-0.015913207317880762,0.781090367845412,0.861892819691489,ns
Graft,S.Score,1266,1141,-0.0013533837445008849,-0.002198090573054312,8.447068285534272e-4,0.5568648661701895,0.7391945418191996,ns
Graft,Survival_apoptosis_module,1266,1141,-0.0976959543402143,-0.12392322189560301,0.026227267555388706,0.0011891052459214841,0.006341894644914582,**
Graft,TCF7,1266,1141,0.15780394264536313,0.4912936603623043,-0.3334897177169412,6.894331158911511e-35,1.4707906472344556e-33,***
Graft,TNFRSF1A,1266,1141,0.2873546309307884,0.2953111080887133,-0.007956477157924913,0.8505868586994813,0.9052229607373146,ns
Graft,TOP2A,1266,1141,0.01659206414608396,0.009633465438338137,0.006958598707745824,0.2506510435467589,0.4998859030981481,ns
Graft,TP53,1266,1141,0.075973918447974,0.08120242381847101,-0.0052285053704970025,0.6726003586987572,0.8073985727028025,ns
