label,metric_id,metric,n_patient_pairs,mean_CXCR6_pos,mean_CXCR6_neg,delta_pos_minus_neg,p_value,p_adj_BH,star
PBMC,mean_G2M_score,Seurat G2M score,4,-0.018187896556367378,-0.01882991524848504,6.420186921176629e-4,0.8551321405847059,0.9121409499570196,ns
PBMC,mean_MKI67_expression,MKI67 expression,4,0.025374791676609502,0.005097560037868181,0.02027723163874132,0.42267807417063546,0.7785098943604869,ns
PBMC,mean_S_score,Seurat S score,4,0.0037842146094924675,8.428345960006318e-4,0.0029413800134918356,0.5838824207703652,0.7785098943604869,ns
PBMC,mean_cell_cycle_arrest_module,Cell-cycle arrest module,4,-0.11809070344144784,-0.12825467283820793,0.010163969396760092,1,1,ns
PBMC,mean_proliferation_module,Proliferation module,4,0.0048610428019894205,-0.004183214606865381,0.0090442574088548,0.5838824207703652,0.7785098943604869,ns
PBMC,mean_survival_apoptosis_module,Survival/apoptosis module,4,-0.0908708938707686,-0.09322499656805078,0.0023541026972821733,0.5838824207703652,0.7785098943604869,ns
PBMC,mkI67_positive_frequency,MKI67+ frequency,4,0.02393162393162393,0.004410112359550562,0.019521511572073366,0.42267807417063546,0.7785098943604869,ns
PBMC,proliferation_gene_positive_frequency,Any proliferation gene+ frequency,4,0.2845049457409008,0.2629741435625276,0.02153080217837322,0.5838824207703652,0.7785098943604869,ns
Graft,mean_G2M_score,Seurat G2M score,4,-0.01256472028047097,-0.01617434557399277,0.003609625293521799,0.10034824646229079,0.7785098943604869,ns
Graft,mean_MKI67_expression,MKI67 expression,4,0.03998063841061778,0.026585181851403985,0.013395456559213797,0.20124262095772402,0.7785098943604869,ns
Graft,mean_S_score,Seurat S score,4,-0.0029027873204344754,-3.316267462667602e-4,-0.0025711605741677154,0.36131042852617873,0.7785098943604869,ns
Graft,mean_cell_cycle_arrest_module,Cell-cycle arrest module,4,-0.09170434962319779,-0.10141176966955552,0.009707420046357731,0.10034824646229079,0.7785098943604869,ns
Graft,mean_proliferation_module,Proliferation module,4,0.0021904432090646734,0.009134002966978791,-0.006943559757914117,0.5838824207703652,0.7785098943604869,ns
Graft,mean_survival_apoptosis_module,Survival/apoptosis module,4,-0.12277058063131127,-0.13078637562781983,0.008015794996508563,0.8551321405847059,0.9121409499570196,ns
Graft,mkI67_positive_frequency,MKI67+ frequency,4,0.03109240355606017,0.020761130160107378,0.010331273395952793,0.20124262095772402,0.7785098943604869,ns
Graft,proliferation_gene_positive_frequency,Any proliferation gene+ frequency,4,0.292452515123896,0.31667942756499295,-0.02422691244109698,0.8551321405847059,0.9121409499570196,ns
